weight,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[168/40] 62.0 / 79.0 / 60.0 / 88.0 / 72.0 / 51.0 / 230.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,"[155/42] 61.0 / 76.0 / 49.5 / 82.0 / 61.0 / 48.0 / 235.0",,,,,,,,"[163/42] 65.0 / 74.5 / 54.0 / 82.0 / 67.0 / 51.5 / 230.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,"[155/43] 62.2 / 77.5 / 53.8 / 84.8 / 66.5 / 50.0 / 230.0","[156/43] 62.0 / 79.0 / 55.0 / 86.0 / 70.0 / 51.0 / 230.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,"[150/44] 60.0 / 80.0 / 49.5 / 86.0 / 71.0 / 45.0 / 200.0",,,,,,,,,,"[160/44] 64.0 / 76.6 / 53.1 / 86.8 / 67.3 / 51.8 / 230.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,"[155/45] 65.0 / 79.4 / 52.8 / 86.7 / 66.6 / 53.0 / 220.0",,,"[158/45] 63.7 / 80.1 / 51.8 / 87.2 / 65.6 / 50.5 / 223.3","[159/45] 63.0 / 81.0 / 56.7 / 87.0 / 67.0 / 52.0 / ","[160/45] 65.0 / 77.5 / 51.8 / 84.9 / 64.5 / 50.9 / 227.5",,,,"[164/45] 56.0 / 77.5 / 56.5 / 85.5 / 58.5 / 57.0 / 230.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,"[155/46] 67.0 / 79.0 / 52.5 / 88.0 / 71.5 / 48.0 / 220.0","[156/46] 66.0 / 79.0 / 52.0 / 87.4 / 67.0 / 50.7 / 230.0","[157/46] 65.5 / 78.7 / 54.7 / 87.4 / 67.0 / 52.0 / 225.0",,"[159/46] 66.0 / 79.5 / 53.0 / 89.0 / 65.0 / 54.0 / 225.0",,"[161/46] 62.0 / 76.0 / 56.0 / 85.5 / 69.0 / 48.0 / ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,"[155/47] 63.0 / 77.5 / 51.0 / 88.0 / 67.5 / 53.0 / 235.0","[156/47] 66.0 / 79.0 / 53.8 / 88.5 / 67.0 / 52.0 / 230.0",,,,"[160/47] 66.0 / 77.7 / 53.2 / 87.3 / 67.1 / 51.0 / 240.0","[161/47] 65.0 / 80.2 / 55.5 / 88.0 / 68.8 / 51.0 / ",,"[163/47] 64.0 / 78.7 / 57.0 / 84.0 / 68.5 / 54.0 / 230.0",,"[165/47] 61.0 / 78.0 / 54.7 / 87.0 / 68.3 / 56.5 / 240.0",,"[167/47] 62.0 / 79.5 / 55.5 / 89.0 / 64.0 / 60.0 / 240.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,"[157/48] 65.0 / 80.6 / 52.4 / 88.7 / 68.2 / 51.0 / 230.0","[158/48] 66.5 / 78.9 / 54.0 / 88.5 / 69.2 / 50.3 / 230.0",,"[160/48] 64.8 / 79.4 / 54.1 / 87.3 / 69.8 / 50.1 / 225.0","[161/48] 65.0 / 78.7 / 52.8 / 87.7 / 69.0 / 46.3 / 235.0","[162/48] 63.0 / 79.1 / 53.1 / 88.2 / 69.5 / 51.6 / 235.0","[163/48] 67.0 / 79.7 / 53.8 / 87.8 / 66.1 / 50.4 / 235.0","[164/48] 64.2 / 79.1 / 55.3 / 87.2 / 67.9 / 53.6 / 240.0",,"[166/48] 64.0 / 80.6 / 56.5 / 89.8 / 66.5 / 58.0 / 240.0",,"[168/48] 62.0 / 75.0 / 57.0 / 88.0 / 67.0 / 54.0 / 245.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,"[153/49] 74.0 / 88.0 / 54.0 / 90.0 / 76.0 / 48.0 / 225.0",,,"[156/49] 68.5 / 79.7 / 54.0 / 86.0 / 71.3 / 64.7 / 230.0","[157/49] 90.0 / 79.5 / 52.8 / 90.0 / 67.2 / 43.0 / ","[158/49] 65.0 / 81.2 / 54.0 / 92.6 / 67.4 / 51.7 / 230.0",,"[160/49] 64.0 / 79.1 / 54.5 / 89.8 / 67.2 / 54.5 / ","[161/49] 62.0 / 83.0 / 54.2 / 88.7 / 67.3 / 50.0 / 230.0","[162/49] 63.0 / 80.1 / 53.6 / 89.0 / 66.8 / 52.3 / ",,,,,,"[168/49] 69.0 / 83.0 / 54.0 / 88.5 / 67.5 / 54.5 / 240.0",,,,"[172/49] 62.0 / 79.0 / 59.0 / 89.0 / 63.0 / 57.0 / 255.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
